CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9226233,2,1,2,F,63,0,3,M,G,0,VENTURA,MOORPARK,2021
9227242,2,1,3,F,17,6,-,P,-,0,VENTURA,VENTURA,2021
9232345,2,1,4,F,33,7,-,-,-,-,VENTURA,VENTURA,2021
9232944,2,1,3,M,69,3,-,-,P,-,VENTURA,"THOUSAND OAKS",2021
92361862,1,1,4,M,42,1,0,P,V,1,VENTURA,"SANTA PAULA",2023
9239729,2,1,4,M,79,4,1,W,-,0,VENTURA,VENTURA,2021
9241058,1,1,3,M,3,4,-,P,-,0,VENTURA,OXNARD,2021
9241058,2,1,2,M,37,0,3,M,G,0,VENTURA,OXNARD,2021
9241058,2,2,2,M,2,0,4,M,Q,0,VENTURA,OXNARD,2021
9241058,2,3,2,F,9,0,5,M,C,0,VENTURA,OXNARD,2021
9241058,2,4,2,F,3,0,6,M,Q,0,VENTURA,OXNARD,2021
92423858,2,1,4,M,30,7,0,P,W,0,VENTURA,UNINCORPORATED,2024
92440255,1,1,4,M,46,6,0,P,V,1,VENTURA,UNINCORPORATED,2024
9248224,2,1,3,M,80,3,-,-,Q,-,VENTURA,"THOUSAND OAKS",2021
9252433,2,1,3,F,29,4,-,P,-,0,VENTURA,OXNARD,2021
9256657,2,1,3,F,57,4,-,P,-,-,VENTURA,OXNARD,2021
9261798,2,1,3,F,19,3,-,P,-,0,VENTURA,OXNARD,2021
9261971,1,1,4,F,27,3,-,P,V,0,VENTURA,OXNARD,2021
9274238,2,1,3,F,55,4,-,P,-,0,VENTURA,OXNARD,2021
9278157,1,1,2,M,25,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2021
9278157,2,1,4,M,42,3,-,-,A,1,VENTURA,"THOUSAND OAKS",2021
